product_id,product_name,category_id,price,stock_quantity,supplier,description,created_date
1,カジュアルTシャツ,1,2980,150,アパレル商事,綿100%の着心地の良いTシャツ,2023-01-01
2,ワイヤレスイヤホン,2,8900,80,テック電子,高音質Bluetooth5.0対応,2023-01-05
3,プログラミング入門書,3,3200,200,学習出版,初心者向けプログラミング解説書,2023-01-10
4,ランニングシューズ,4,12800,60,スポーツギア,軽量で履き心地抜群,2023-01-15
5,有機野菜セット,5,1980,30,農園直送,新鮮な季節野菜の詰め合わせ,2023-01-20
6,保湿クリーム,6,4500,120,ビューティー,敏感肌にも優しい保湿クリーム,2023-01-25
7,北欧風クッション,7,3800,90,インテリア工房,おしゃれな北欧デザイン,2023-02-01
8,知育パズル,8,2400,100,トイメーカー,3歳から楽しめる木製パズル,2023-02-05
9,デニムジャケット,1,8900,45,アパレル商事,定番のデニムジャケット,2023-02-10
10,スマートウォッチ,2,25800,25,テック電子,健康管理機能付きスマートウォッチ,2023-02-15
11,料理レシピ本,3,2800,180,学習出版,家庭料理の基本レシピ集,2023-02-20
12,ヨガマット,4,5400,70,スポーツギア,滑り止め付きヨガマット,2023-02-25
13,オーガニックコーヒー,5,3600,50,農園直送,香り豊かなオーガニックコーヒー豆,2023-03-01
14,美容液,6,7800,85,ビューティー,エイジングケア美容液,2023-03-05
15,観葉植物,7,2200,110,インテリア工房,お手入れ簡単な観葉植物,2023-03-10
